,Runs,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Lat,Lon
0,12,22,1,0,54.54,2.0,lbw,1,v Sri Lanka,Dambulla,18-Aug-08,7.8742031,80.6510917
1,37,67,6,0,55.22,2.0,caught,2,v Sri Lanka,Dambulla,20-Aug-08,7.8742031,80.6510917
2,25,38,4,0,65.78,1.0,run out,1,v Sri Lanka,Colombo (RPS),24-Aug-08,0,0
3,54,66,7,0,81.81,1.0,bowled,1,v Sri Lanka,Colombo (RPS),27-Aug-08,0,0
4,31,46,3,1,67.39,1.0,lbw,2,v Sri Lanka,Colombo (RPS),29-Aug-08,0,0
5,2,2,0,0,100.0,7.0,not out,1,v Sri Lanka,Colombo (RPS),14-Sep-09,0,0
6,30,41,3,0,73.17,4.0,caught,2,v Australia,Vadodara,25-Oct-09,22.2973142,73.1942567
7,10,16,1,0,62.5,3.0,caught,2,v Australia,Mohali,2-Nov-09,30.7041168,76.7176885
8,27,19,4,0,142.1,7.0,bowled,1,v Sri Lanka,Rajkot,15-Dec-09,22.3053263,70.8028377
9,54,65,7,0,83.07,4.0,lbw,1,v Sri Lanka,Nagpur,18-Dec-09,21.1498134,79.0820556
10,107,114,11,1,93.85,4.0,caught,2,v Sri Lanka,Kolkata,24-Dec-09,22.5726459,88.3638953
11,91,102,7,0,89.21,3.0,caught,2,v Bangladesh,Dhaka,7-Jan-10,23.7644025,90.389015
12,102,95,11,0,107.36,3.0,not out,2,v Bangladesh,Dhaka,11-Jan-10,23.7644025,90.389015
13,31,46,1,0,67.39,5.0,caught,1,v South Africa,Jaipur,21-Feb-10,26.9154576,75.8189817
14,57,71,4,1,80.28,3.0,caught,2,v South Africa,Ahmedabad,27-Feb-10,23.0216238,72.5797068
15,0,0,0,0,0.0,3.0,run out,1,v Zimbabwe,Bulawayo,28-May-10,-20.1053948,28.5426856
16,18,29,1,0,62.06,3.0,caught,1,v Zimbabwe,Harare,3-Jun-10,-17.831773,31.045686
17,10,14,1,0,71.42,3.0,caught,1,v Sri Lanka,Dambulla,22-Jun-10,7.8742031,80.6510917
18,28,34,4,0,82.35,3.0,caught,1,v Sri Lanka,Dambulla,24-Jun-10,7.8742031,80.6510917
19,0,3,0,0,0.0,3.0,caught,2,v Sri Lanka,Dambulla,16-Aug-10,7.8742031,80.6510917
20,37,57,5,0,64.91,3.0,caught,2,v Sri Lanka,Dambulla,28-Aug-10,7.8742031,80.6510917
21,118,121,11,1,97.52,3.0,caught,2,v Australia,Visakhapatnam,20-Oct-10,17.7231276,83.3012842
22,105,104,10,0,100.96,3.0,caught,1,v New Zealand,Guwahati,28-Nov-10,26.1805978,91.753943
23,64,73,8,0,87.67,3.0,caught,2,v New Zealand,Jaipur,1-Dec-10,26.9154576,75.8189817
24,63,70,6,2,90.0,3.0,not out,2,v New Zealand,Vadodara,4-Dec-10,22.2973142,73.1942567
25,0,2,0,0,0.0,3.0,caught,2,v New Zealand,Bengaluru,7-Dec-10,12.9767936,77.590082
26,2,8,0,0,25.0,3.0,caught,2,v New Zealand,Chennai,10-Dec-10,13.0836939,80.270186
27,54,70,2,1,77.14,3.0,caught,2,v South Africa,Durban,12-Jan-11,-29.861825,31.009909
28,22,34,1,0,64.7,3.0,run out,1,v South Africa,Johannesburg,15-Jan-11,-26.205,28.049722
29,28,41,5,0,68.29,3.0,caught,2,v South Africa,Cape Town,18-Jan-11,-33.928992,18.417396
30,87,92,7,2,94.56,3.0,not out,2,v South Africa,Port Elizabeth,21-Jan-11,-33.9618359,25.6186512
31,2,6,0,0,33.33,3.0,caught,2,v South Africa,Centurion,23-Jan-11,-25.836389,28.180278
32,100,83,8,2,120.48,4.0,not out,1,v Bangladesh,Dhaka,19-Feb-11,23.7644025,90.389015
33,34,53,3,0,64.15,4.0,run out,2,v Ireland,Bengaluru,6-Mar-11,12.9767936,77.590082
34,12,20,2,0,60.0,5.0,bowled,2,v Netherlands,Delhi,9-Mar-11,28.6273928,77.1716954
35,1,3,0,0,33.33,7.0,caught,1,v South Africa,Nagpur,12-Mar-11,21.1498134,79.0820556
36,59,76,5,0,77.63,3.0,bowled,1,v West Indies,Chennai,20-Mar-11,13.0836939,80.270186
37,24,33,1,0,72.72,4.0,caught,2,v Australia,Ahmedabad,24-Mar-11,23.0216238,72.5797068
38,9,21,0,0,42.85,4.0,caught,1,v Pakistan,Mohali,30-Mar-11,30.7041168,76.7176885
39,35,49,4,0,71.42,4.0,caught,2,v Sri Lanka,Mumbai,2-Apr-11,19.08157715,72.88662753964906
40,2,8,0,0,25.0,3.0,caught,2,v West Indies,Port of Spain,6-Jun-11,10.6572678,-61.5180173
